gdp
5234.80 
6536.80 
7122.50 
8174.30 
6803.10 
8416.20 
9305.30 
10999.70 
9337.80 
11566.90 
12764.50 
14790.40 
12065.90 
14727.80 
16035.30 
18300.70 
14572.60 
17286.20 
18457.90 
21255.60 
16622.60 
19298.40 
20338.60 
23169.80 
17976.70 
20427.90 
21606.70 
24872.30 
19274.50 
21683.70 
22865.10 
26364.40 
21215.50 
24128.80 
25491.90 
28940.10 
23950.30 
26795.80 
28086.20 
31438.10 
26132.90 
29245.60 
30971.40 
34652.10 
29631.10 
32563.00 
34968.40 
39402.20 
34290.60 
38713.10 
41435.80 
46274.90 
40130.90 
44748.20 
47550.20 
53466.50 
46678.30 
52560.40 
55467.80 
62950.10 
56686.60 
64648.90 
68789.50 
77894.30 
68778.40 
78537.60 
81619.50 
87816.30 
73283.60 
83614.20 
88923.50 
99808.00 
86684.30 
99059.80 
104950.60 
118208.20 
103456.90 
118465.00 
125279.30 
136922.30 
116147.90 
130765.80 
136722.90 
150486.40 
128083.50 
143031.80 
150719.80 
166183.60 
138738.00 
155201.00 
163467.00 
178732.80 
