date,ex
2010-06-22,6.7980 
2010-06-23,6.8102 
2010-06-24,6.8100 
2010-06-25,6.7896 
2010-06-28,6.7890 
2010-06-29,6.7901 
2010-06-30,6.7909 
2010-07-01,6.7858 
2010-07-02,6.7720 
2010-07-05,6.7733 
2010-07-06,6.7790 
2010-07-07,6.7781 
2010-07-08,6.7768 
2010-07-09,6.7753 
2010-07-12,6.7718 
2010-07-13,6.7802 
2010-07-14,6.7755 
2010-07-15,6.7741 
2010-07-16,6.7718 
2010-07-19,6.7800 
2010-07-20,6.7812 
2010-07-21,6.7802 
2010-07-22,6.7859 
2010-07-23,6.7790 
2010-07-26,6.7778 
2010-07-27,6.7742 
2010-07-28,6.7785 
2010-07-29,6.7787 
2010-07-30,6.7750 
2010-08-02,6.7742 
2010-08-03,6.7722 
2010-08-04,6.7715 
2010-08-05,6.7783 
2010-08-06,6.7730 
2010-08-09,6.7685 
2010-08-10,6.7745 
2010-08-11,6.7768 
2010-08-12,6.8015 
2010-08-13,6.8035 
2010-08-16,6.8064 
2010-08-17,6.7979 
2010-08-18,6.7895 
2010-08-19,6.7898 
2010-08-20,6.7884 
2010-08-23,6.7989 
2010-08-24,6.7999 
2010-08-25,6.8007 
2010-08-26,6.8041 
2010-08-27,6.8001 
2010-08-30,6.8025 
2010-08-31,6.8105 
2010-09-01,6.8126 
2010-09-02,6.8003 
2010-09-03,6.7973 
2010-09-06,6.7838 
2010-09-07,6.7799 
2010-09-08,6.7907 
2010-09-09,6.7817 
2010-09-10,6.7625 
2010-09-13,6.7509 
2010-09-14,6.7378 
2010-09-15,6.7250 
2010-09-16,6.7181 
2010-09-17,6.7172 
2010-09-20,6.7110 
2010-09-21,6.6997 
2010-09-27,6.7098 
2010-09-28,6.7051 
2010-09-29,6.6936 
2010-09-30,6.7011 
2010-10-08,6.6830 
2010-10-11,6.6732 
2010-10-12,6.6775 
2010-10-13,6.6693 
2010-10-14,6.6582 
2010-10-15,6.6497 
2010-10-18,6.6541 
2010-10-19,6.6553 
2010-10-20,6.6754 
2010-10-21,6.6695 
2010-10-22,6.6759 
2010-10-25,6.6729 
2010-10-26,6.6762 
2010-10-27,6.6912 
2010-10-28,6.6986 
2010-10-29,6.6908 
2010-11-01,6.6886 
2010-11-02,6.6925 
2010-11-03,6.6818 
2010-11-04,6.6708 
2010-11-05,6.6610 
2010-11-08,6.6692 
2010-11-09,6.6580 
2010-11-10,6.6450 
2010-11-11,6.6242 
2010-11-12,6.6239 
2010-11-15,6.6303 
2010-11-16,6.6441 
2010-11-17,6.6490 
2010-11-18,6.6455 
2010-11-19,6.6408 
2010-11-22,6.6389 
2010-11-23,6.6469 
2010-11-24,6.6589 
2010-11-25,6.6557 
2010-11-26,6.6553 
2010-11-29,6.6700 
2010-11-30,6.6762 
2010-12-01,6.6786 
2010-12-02,6.6691 
2010-12-03,6.6605 
2010-12-06,6.6515 
2010-12-07,6.6565 
2010-12-08,6.6616 
2010-12-09,6.6654 
2010-12-10,6.6604 
2010-12-13,6.6630 
2010-12-14,6.6531 
2010-12-15,6.6566 
2010-12-16,6.6635 
2010-12-17,6.6593 
2010-12-20,6.6623 
2010-12-21,6.6597 
2010-12-22,6.6548 
2010-12-23,6.6466 
2010-12-24,6.6371 
2010-12-27,6.6305 
2010-12-28,6.6252 
2010-12-29,6.6247 
2010-12-30,6.6229 
2010-12-31,6.6227 
2011-01-04,6.6215 
2011-01-05,6.6295 
2011-01-06,6.6322 
2011-01-07,6.6341 
2011-01-10,6.6349 
2011-01-11,6.6216 
2011-01-12,6.6128 
2011-01-13,6.5997 
2011-01-14,6.5896 
2011-01-17,6.5897 
2011-01-18,6.5891 
2011-01-19,6.5885 
2011-01-20,6.5883 
2011-01-21,6.5886 
2011-01-24,6.5883 
2011-01-25,6.5881 
2011-01-26,6.5878 
2011-01-27,6.5876 
2011-01-28,6.5930 
2011-01-31,6.5891 
2011-02-01,6.5860 
2011-02-09,6.5850 
2011-02-10,6.5849 
2011-02-11,6.5952 
2011-02-14,6.5985 
2011-02-15,6.5929 
2011-02-16,6.5855 
2011-02-17,6.5800 
2011-02-18,6.5781 
2011-02-21,6.5705 
2011-02-22,6.5772 
2011-02-23,6.5828 
2011-02-24,6.5795 
2011-02-25,6.5757 
2011-02-28,6.5752 
2011-03-01,6.5706 
2011-03-02,6.5736 
2011-03-03,6.5695 
2011-03-04,6.5671 
2011-03-07,6.5651 
2011-03-08,6.5687 
2011-03-09,6.5748 
2011-03-10,6.5713 
2011-03-11,6.5750 
2011-03-14,6.5701 
2011-03-15,6.5679 
2011-03-16,6.5718 
2011-03-17,6.5690 
2011-03-18,6.5668 
2011-03-21,6.5632 
2011-03-22,6.5592 
2011-03-23,6.5601 
2011-03-24,6.5625 
2011-03-25,6.5580 
2011-03-28,6.5618 
2011-03-29,6.5625 
2011-03-30,6.5586 
2011-03-31,6.5564 
2011-04-01,6.5527 
2011-04-06,6.5496 
2011-04-07,6.5456 
2011-04-08,6.5420 
2011-04-11,6.5401 
2011-04-12,6.5440 
2011-04-13,6.5369 
2011-04-14,6.5339 
2011-04-15,6.5301 
2011-04-18,6.5310 
2011-04-19,6.5346 
2011-04-20,6.5294 
2011-04-21,6.5228 
2011-04-22,6.5156 
2011-04-25,6.5161 
2011-04-26,6.5173 
2011-04-27,6.5096 
2011-04-28,6.5051 
2011-04-29,6.4990 
2011-05-03,6.5002 
2011-05-04,6.5013 
2011-05-05,6.5025 
2011-05-06,6.5003 
2011-05-09,6.4988 
2011-05-10,6.4950 
2011-05-11,6.4948 
2011-05-12,6.5005 
2011-05-13,6.5017 
2011-05-16,6.5089 
2011-05-17,6.5108 
2011-05-18,6.5074 
2011-05-19,6.5048 
2011-05-20,6.4983 
2011-05-23,6.4998 
2011-05-24,6.5038 
2011-05-25,6.4949 
2011-05-26,6.4921 
2011-05-27,6.4898 
2011-05-30,6.4856 
2011-05-31,6.4845 
2011-06-01,6.4837 
2011-06-02,6.4886 
2011-06-03,6.4846 
2011-06-07,6.4816 
2011-06-08,6.4795 
2011-06-09,6.4830 
2011-06-10,6.4853 
2011-06-13,6.4892 
2011-06-14,6.4822 
2011-06-15,6.4796 
2011-06-16,6.4803 
2011-06-17,6.4716 
2011-06-20,6.4696 
2011-06-21,6.4690 
2011-06-22,6.4683 
2011-06-23,6.4736 
2011-06-24,6.4742 
2011-06-27,6.4750 
2011-06-28,6.4723 
2011-06-29,6.4718 
2011-06-30,6.4716 
2011-07-01,6.4685 
2011-07-04,6.4661 
2011-07-05,6.4650 
2011-07-06,6.4715 
2011-07-07,6.4732 
2011-07-08,6.4705 
2011-07-11,6.4709 
2011-07-12,6.4748 
2011-07-13,6.4728 
2011-07-14,6.4640 
2011-07-15,6.4665 
2011-07-18,6.4680 
2011-07-19,6.4684 
2011-07-20,6.4592 
2011-07-21,6.4536 
2011-07-22,6.4495 
2011-07-25,6.4503 
2011-07-26,6.4470 
